year,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,points_scored
2025,stroll,aston_martin,shanghai,14,1.1319999999999908,0.0849999999999937,118.0,423.0,2.6666666666666665,0,0,1
2025,alonso,aston_martin,melbourne,12,1.191999999999993,-0.081000000000003,349.0,423.0,2.6666666666666665,1,1,0
2024,ocon,alpine,suzuka,15,1.6140000000000043,-0.3079999999999927,145.0,280.0,0.0,0,0,0
2022,magnussen,haas_f1_team,zandvoort,18,1.698999999999998,0.6209999999999951,19.0,31.0,0.0,0,0,0
2025,russell,mercedes,budapest,4,0.3109999999999928,-0.4920000000000044,792.0,1508.0,7.0,0,0,1
2024,zhou,kick_sauber,jeddah,20,33.629000000000005,31.922,12.0,0.0,0.0,1,0,0
2025,piastri,mclaren,yas_island,3,0.2300000000000039,0.0289999999999963,710.0,1767.0,9.333333333333334,0,0,1
2022,magnussen,haas_f1_team,s_o_paulo,1,0.5289999999999964,-4.951000000000008,21.0,33.0,0.6666666666666666,0,0,0
2022,schumacher,haas_f1_team,marina_bay,13,4.957999999999998,2.7970000000000117,12.0,31.0,0.0,1,1,0
2022,leclerc,ferrari,marina_bay,1,0.0,-0.1709999999999922,205.0,381.0,13.666666666666666,1,1,1
2025,alonso,aston_martin,monza,9,0.5699999999999932,-0.5859999999999985,379.0,473.0,4.666666666666667,0,0,0
2022,stroll,aston_martin,barcelona,18,2.6680000000000064,0.4640000000000128,2.0,6.0,0.6666666666666666,0,0,0
2023,hulkenberg,haas_f1_team,baku,17,2.5519999999999925,-0.6620000000000061,6.0,40.0,2.0,1,0,0
2022,stroll,aston_martin,monaco,18,2.3019999999999925,1.0649999999999975,2.0,7.0,0.6666666666666666,1,1,0
2024,hulkenberg,haas_f1_team,sakhir,10,0.6859999999999928,-0.6779999999999973,6.0,42.0,0.0,0,0,0
2025,hulkenberg,kick_sauber,jeddah,18,1.4879999999999995,-0.6800000000000068,48.0,10.0,0.0,1,0,0
2024,gasly,alpine,yas_island,6,0.3889999999999958,-1.121000000000009,111.0,337.0,8.333333333333334,0,0,1
2023,stroll,aston_martin,jeddah,6,0.6799999999999926,0.2149999999999892,26.0,93.0,4.333333333333333,1,0,0
2024,sainz,ferrari,mexico_city,1,0.0,-0.3190000000000026,602.0,1340.0,8.0,0,0,1
2023,zhou,alfa_romeo,marina_bay,19,2.274000000000001,0.448999999999998,10.0,63.0,0.0,1,0,0
2023,sargeant,williams,sakhir,16,1.9440000000000024,0.1910000000000025,0.0,9.0,0.0,0,0,0
2024,norris,mclaren,suzuka,3,0.2920000000000016,-0.2710000000000008,327.0,471.0,9.0,0,0,1
2024,russell,mercedes,spielberg,3,0.5260000000000105,-0.0630000000000023,499.0,1012.0,12.333333333333334,0,1,1
2023,zhou,alfa_romeo,monaco,19,2.1580000000000013,0.8979999999999961,8.0,59.0,0.6666666666666666,1,1,0
2025,bearman,haas_f1_team,shanghai,17,1.3769999999999951,0.3930000000000007,7.0,103.0,0.3333333333333333,0,0,1
2022,bottas,alfa_romeo,barcelona,7,0.8580000000000041,-0.867999999999995,28.0,29.0,6.666666666666667,0,0,1
2024,magnussen,haas_f1_team,barcelona,16,1.554000000000002,0.6269999999999953,25.0,47.0,0.0,0,1,0
2024,hamilton,mercedes,montr_al,7,0.2369999999999947,0.2369999999999947,485.0,972.0,7.666666666666667,0,1,1
2023,tsunoda,alphatauri,zandvoort,14,9.663000000000013,-3.1899999999999977,15.0,38.0,0.3333333333333333,0,1,0
2022,gasly,alphatauri,monza,9,1.7489999999999952,-0.1099999999999994,18.0,29.0,0.6666666666666666,0,0,1
2023,ocon,alpine,jeddah,7,0.8130000000000024,-0.2789999999999963,89.0,172.0,3.333333333333333,1,0,1
2023,sargeant,williams,austin,20,2.1089999999999947,0.5120000000000005,0.0,31.0,0.0,0,0,1
2022,vettel,aston_martin,budapest,18,1.8960000000000008,0.1359999999999956,15.0,19.0,0.6666666666666666,0,1,1
2022,bottas,alfa_romeo,monza,12,2.073999999999998,0.2319999999999993,44.0,50.0,0.0,0,0,0
2024,bottas,kick_sauber,barcelona,12,0.8440000000000083,-0.5109999999999957,57.0,0.0,0.0,0,1,0
2024,ocon,alpine,lusail,20,2.1940000000000026,1.277000000000001,168.0,337.0,6.0,0,0,0
2025,lawson,racing_bulls,silverstone,16,1.5480000000000018,0.5759999999999934,18.0,33.0,2.6666666666666665,0,1,0
2022,latifi,williams,mexico_city,20,3.391999999999996,0.3080000000000069,2.0,8.0,0.6666666666666666,0,0,0
2025,albon,williams,sakhir,15,2.1990000000000123,1.3599999999999994,59.0,70.0,6.0,0,0,0
2022,albon,williams,monaco,16,2.2349999999999994,-0.7920000000000016,3.0,3.0,0.6666666666666666,1,1,0
2023,alonso,aston_martin,mexico_city,13,1.5720000000000027,-0.4890000000000043,256.0,277.0,4.0,0,0,0
2023,gasly,alpine,s_o_paulo,13,0.5459999999999923,0.0049999999999954,71.0,261.0,2.6666666666666665,0,1,1
2022,tsunoda,alphatauri,marina_bay,10,2.570999999999998,0.7720000000000056,11.0,34.0,0.0,1,1,0
2025,sainz,williams,las_vegas,3,0.362000000000009,-7.923999999999992,697.0,150.0,0.0,1,0,1
2025,hulkenberg,kick_sauber,imola,17,1.847999999999999,0.2579999999999955,48.0,10.0,0.0,0,0,0
2022,gasly,alphatauri,mexico_city,14,1.8969999999999916,0.0829999999999984,23.0,35.0,0.3333333333333333,0,0,0
2023,russell,mercedes,jeddah,4,0.5919999999999987,-0.3659999999999996,268.0,511.0,14.0,1,0,1
2023,leclerc,ferrari,monaco,3,0.1060000000000087,-0.1589999999999918,318.0,586.0,7.0,1,1,1
2023,leclerc,ferrari,yas_island,2,0.13900000000001,-1.1539999999999964,458.0,864.0,11.0,0,0,1
2023,de_vries,alphatauri,silverstone,18,3.7930000000000064,0.4879999999999995,2.0,37.0,0.0,0,0,0
2025,hamilton,ferrari,jeddah,7,0.8080000000000069,0.4320000000000021,674.0,1537.0,5.333333333333333,1,0,1
2024,hamilton,mercedes,yas_island,18,1.2920000000000016,0.7549999999999955,645.0,1280.0,6.333333333333333,0,0,1
2022,sainz,ferrari,imola,10,0.0,-0.1180000000000092,33.0,112.0,11.0,0,0,0
2024,magnussen,haas_f1_team,sakhir,15,1.36399999999999,0.6779999999999973,24.0,42.0,0.0,0,0,0
2023,sainz,ferrari,s_o_paulo,8,0.2330000000000041,-0.0489999999999923,390.0,830.0,9.0,0,1,1
2022,magnussen,haas_f1_team,miami,16,2.178999999999988,0.5519999999999925,14.0,14.0,1.3333333333333333,1,1,0
2025,albon,williams,budapest,20,1.3329999999999984,0.570999999999998,95.0,118.0,4.0,0,0,0
2023,zhou,alfa_romeo,mexico_city,10,0.8840000000000003,0.0339999999999918,12.0,69.0,0.6666666666666666,0,0,0
2022,leclerc,ferrari,spielberg,2,0.0290000000000105,-0.0529999999999972,131.0,253.0,7.333333333333333,0,0,1
2024,albon,williams,shanghai,14,1.581000000000003,-1.1170000000000044,29.0,34.0,0.0,0,0,0
2022,verstappen,red_bull_racing,jeddah,4,14.790999999999997,0.2609999999999957,0.0,0.0,0.0,1,0,1
2023,sargeant,williams,s_o_paulo,19,1.0139999999999958,0.4140000000000015,1.0,34.0,0.3333333333333333,0,1,0
2022,perez,red_bull_racing,miami,4,0.2399999999999948,0.0450000000000017,48.0,125.0,16.0,1,1,1
2024,alonso,aston_martin,spa_francorchamps,9,1.0989999999999895,-1.4579999999999984,324.0,390.0,1.3333333333333333,0,0,1
2024,leclerc,ferrari,austin,4,0.4099999999999966,0.0879999999999938,707.0,1297.0,17.666666666666668,0,0,1
2023,norris,mclaren,monza,9,0.6850000000000023,0.1940000000000026,188.0,251.0,10.0,0,0,1
2025,bortoleto,kick_sauber,barcelona,12,1.2099999999999935,-0.4339999999999975,0.0,20.0,0.0,0,0,0
2022,schumacher,haas_f1_team,barcelona,10,1.617999999999995,0.6859999999999928,0.0,14.0,0.0,0,0,0
2025,hadjar,racing_bulls,austin,20,1.6594142076502738,0.0,38.0,68.0,0.6666666666666666,0,0,0
2023,hamilton,mercedes,marina_bay,5,0.5010000000000048,0.429000000000002,393.0,757.0,9.666666666666666,1,0,1
