year,round_number,driver_id,constructor_id,circuit_id,grid_position,quali_delta,quali_tm_delta,season_pts_driver,season_pts_team,last_3_avg,is_street_circuit,is_wet,race_time
2018,6,r_ikk_nen,ferrari,monte_carlo,4,0.45600000000000307,0.22700000000000387,48.0,144.0,11.0,1,1,18.127
2018,6,bottas,mercedes,monte_carlo,5,0.6310000000000002,0.20900000000000318,58.0,168.0,12.0,1,1,18.822
2018,6,ocon,force_india,monte_carlo,6,1.2510000000000048,-0.09299999999998931,1.0,18.0,0.0,1,1,23.667
2018,6,gasly,toro_rosso,monte_carlo,10,1.4110000000000014,-0.9579999999999984,12.0,13.0,0.0,1,1,24.331
2018,6,hulkenberg,renault,monte_carlo,11,1.600999999999999,0.2810000000000059,22.0,41.0,2.6666666666666665,1,1,24.839
2018,6,verstappen,red_bull_racing,monte_carlo,20,1.8356328502415453,0.0,33.0,105.0,8.333333333333334,1,1,25.317
2018,6,sainz,renault,monte_carlo,8,1.3199999999999932,-0.2810000000000059,19.0,45.0,6.0,1,1,69.013
2018,6,ericsson,sauber,monte_carlo,17,2.4549999999999983,0.5510000000000019,2.0,11.0,0.0,1,1,69.864
2018,6,perez,force_india,monte_carlo,9,1.343999999999994,0.09299999999998931,17.0,26.0,5.666666666666667,1,1,70.461
2018,6,magnussen,haas_f1_team,monte_carlo,19,2.5829999999999984,0.6650000000000063,19.0,19.0,3.0,1,1,74.823
2018,6,vandoorne,mclaren,monte_carlo,12,1.6299999999999955,0.3299999999999983,8.0,40.0,0.6666666666666666,1,1,
2018,6,grosjean,haas_f1_team,monte_carlo,15,1.9179999999999922,-0.6650000000000063,0.0,19.0,0.0,1,1,
2018,6,sirotkin,williams,monte_carlo,13,1.7109999999999985,-0.8019999999999925,0.0,4.0,0.0,1,1,
2018,6,stroll,williams,monte_carlo,18,2.512999999999991,0.8019999999999925,4.0,4.0,1.3333333333333333,1,1,
2018,6,leclerc,sauber,monte_carlo,14,1.9039999999999964,-0.5510000000000019,9.0,11.0,3.0,1,1,
2018,6,hartley,toro_rosso,monte_carlo,16,2.3689999999999998,0.9579999999999984,1.0,19.0,0.3333333333333333,1,1,
2018,6,alonso,mclaren,monte_carlo,7,1.2999999999999972,-0.3299999999999983,32.0,40.0,5.333333333333333,1,1,
2018,7,vettel,ferrari,montr_al,1,0.0,-0.33100000000000307,96.0,156.0,14.0,0,0,5311.377
2018,7,bottas,mercedes,montr_al,2,0.09300000000000352,-0.1389999999999958,68.0,178.0,9.333333333333334,0,0,7.376
2018,7,verstappen,red_bull_racing,montr_al,3,0.17300000000000182,-0.17900000000000205,35.0,107.0,5.666666666666667,0,0,8.36
2018,7,ricciardo,red_bull_racing,montr_al,6,0.35200000000000387,0.17900000000000205,72.0,122.0,11.666666666666666,0,0,20.892
2018,7,hamilton,mercedes,montr_al,4,0.23199999999999932,0.1389999999999958,110.0,196.0,21.666666666666668,0,0,21.559
2018,7,r_ikk_nen,ferrari,montr_al,5,0.33100000000000307,0.33100000000000307,60.0,181.0,10.0,0,0,27.184
2018,7,hulkenberg,renault,montr_al,7,1.152000000000001,-0.18099999999999739,26.0,46.0,1.3333333333333333,0,0,
2018,7,sainz,renault,montr_al,9,1.3329999999999984,0.18099999999999739,20.0,52.0,5.666666666666667,0,0,
2018,7,ocon,force_india,montr_al,8,1.3200000000000074,-0.31099999999999284,9.0,26.0,2.6666666666666665,0,0,
2018,7,leclerc,sauber,montr_al,13,1.8970000000000056,-1.9320000000000022,9.0,11.0,3.0,0,0,
2018,7,gasly,toro_rosso,montr_al,16,2.2830000000000013,0.45999999999999375,18.0,19.0,2.0,0,0,
2018,7,grosjean,haas_f1_team,montr_al,-1,1.8356328502415453,0.0,0.0,19.0,0.0,0,0,
2018,7,magnussen,haas_f1_team,montr_al,11,1.8419999999999987,0.0,19.0,19.0,2.6666666666666665,0,0,
2018,7,perez,force_india,montr_al,10,1.6310000000000002,0.31099999999999284,17.0,28.0,5.666666666666667,0,0,
2018,7,ericsson,sauber,montr_al,18,3.8290000000000077,1.9320000000000022,2.0,12.0,0.0,0,0,
2018,7,vandoorne,mclaren,montr_al,15,2.100999999999999,0.009000000000000341,8.0,40.0,0.6666666666666666,0,0,
2018,7,sirotkin,williams,montr_al,17,2.879000000000005,0.05299999999999727,0.0,4.0,0.0,0,0,
2018,7,alonso,mclaren,montr_al,14,2.0919999999999987,-0.009000000000000341,32.0,40.0,3.3333333333333335,0,0,
2018,7,hartley,toro_rosso,montr_al,12,1.8230000000000075,-0.45999999999999375,1.0,19.0,0.3333333333333333,0,0,
2018,7,stroll,williams,montr_al,19,2.8260000000000076,-0.05299999999999727,4.0,4.0,1.3333333333333333,0,0,
2018,8,hamilton,mercedes,le_castellet,1,0.0,-0.11800000000000921,120.0,206.0,16.666666666666668,0,1,5411.385
2018,8,verstappen,red_bull_racing,le_castellet,4,0.6760000000000019,-0.18999999999999773,50.0,134.0,10.666666666666666,0,1,7.09
2018,8,r_ikk_nen,ferrari,le_castellet,6,0.7430000000000092,0.3719999999999999,68.0,189.0,6.666666666666667,0,1,25.888
2018,8,ricciardo,red_bull_racing,le_castellet,5,0.8659999999999997,0.18999999999999773,84.0,152.0,15.666666666666666,0,1,34.736
2018,8,vettel,ferrari,le_castellet,3,0.3710000000000093,-0.3719999999999999,121.0,204.0,18.333333333333332,0,1,61.935
2018,8,magnussen,haas_f1_team,le_castellet,9,1.4810000000000088,0.038000000000010914,19.0,19.0,2.6666666666666665,0,1,79.364
2018,8,bottas,mercedes,le_castellet,2,0.11800000000000921,0.11800000000000921,86.0,231.0,15.333333333333334,0,1,80.632
2018,8,sainz,renault,le_castellet,7,1.987000000000009,-0.09899999999998954,24.0,56.0,3.6666666666666665,0,1,87.184
2018,8,hulkenberg,renault,le_castellet,12,2.0859999999999985,0.09899999999998954,32.0,60.0,3.3333333333333335,0,1,91.989
2018,8,leclerc,sauber,le_castellet,8,2.0260000000000105,-0.7489999999999952,10.0,12.0,0.6666666666666666,0,1,93.873
2018,8,grosjean,haas_f1_team,le_castellet,10,1.4429999999999978,-0.038000000000010914,0.0,27.0,0.0,0,1,
2018,8,vandoorne,mclaren,le_castellet,18,3.1330000000000098,0.18600000000000705,8.0,40.0,0.0,0,1,
2018,8,ericsson,sauber,le_castellet,15,2.7750000000000057,0.7489999999999952,2.0,13.0,0.0,0,1,
