year,round,event,driver,team,quali_position,avg_race_lap_time_s,lap_delta_vs_event_mean_s,finish_position,points_awarded,prev_points_total,rolling_points_last3,driver_points_per_race,team_prev_points_total,team_points_per_race,scored_points
2020,7,Belgian Grand Prix,VER,Red Bull Racing,3.0,109.54572499999999,-0.9504882132132337,3.0,15.0,95.0,62.0,15.833333333333334,135.0,11.25,1
2020,7,Belgian Grand Prix,RIC,Renault,4.0,109.63456410256411,-0.8616491106491111,4.0,13.0,20.0,12.0,3.3333333333333335,36.0,3.0,1
2020,7,Belgian Grand Prix,OCO,Renault,6.0,110.22317948717948,-0.273033726033745,5.0,10.0,16.0,12.0,2.6666666666666665,49.0,3.769230769230769,1
2020,7,Belgian Grand Prix,ALB,Red Bull Racing,5.0,110.30079487179489,-0.19541834141833192,6.0,8.0,40.0,18.0,6.666666666666667,150.0,11.538461538461538,1
2020,7,Belgian Grand Prix,NOR,McLaren,10.0,110.42036842105263,-0.07584479216059492,7.0,6.0,39.0,13.0,6.5,62.0,5.166666666666667,1
2020,7,Belgian Grand Prix,GAS,AlphaTauri,12.0,110.11683783783785,-0.3793753753753748,8.0,4.0,14.0,8.0,2.3333333333333335,16.0,1.3333333333333333,1
2020,7,Belgian Grand Prix,STR,Racing Point,9.0,110.61643589743588,0.1202226842226537,9.0,2.0,40.0,22.0,6.666666666666667,78.0,6.5,1
2020,7,Belgian Grand Prix,PER,Racing Point,8.0,110.32778378378377,-0.16842942942945172,10.0,1.0,32.0,24.0,8.0,80.0,6.153846153846154,1
2020,7,Belgian Grand Prix,KVY,AlphaTauri,11.0,111.11528947368421,0.6190762604709903,11.0,0.0,2.0,1.0,0.3333333333333333,20.0,1.5384615384615385,0
2020,7,Belgian Grand Prix,RAI,Alfa Romeo Racing,16.0,111.20226315789473,0.70604994468151,12.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,0
2020,7,Belgian Grand Prix,VET,Ferrari,14.0,111.24742105263158,0.7512078394183561,13.0,0.0,16.0,7.0,2.6666666666666665,61.0,5.083333333333333,0
2020,7,Belgian Grand Prix,LEC,Ferrari,13.0,110.92978378378379,0.43357057057056636,14.0,0.0,45.0,27.0,7.5,61.0,4.6923076923076925,0
2020,7,Belgian Grand Prix,GRO,Haas F1 Team,17.0,111.37510526315789,0.8788920499446675,15.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0
2020,7,Belgian Grand Prix,LAT,Williams,19.0,111.20027027027027,0.7040570570570424,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,7,Belgian Grand Prix,MAG,Haas F1 Team,20.0,111.22005555555558,0.7238423423423512,17.0,0.0,1.0,0.0,0.16666666666666666,1.0,0.07692307692307693,0
2020,7,Belgian Grand Prix,GIO,Alfa Romeo Racing,18.0,112.67562500000001,2.179411786786787,18.0,0.0,2.0,0.0,0.3333333333333333,2.0,0.15384615384615385,0
2020,7,Belgian Grand Prix,RUS,Williams,15.0,112.78175,2.2855367867867784,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,7,Belgian Grand Prix,SAI,McLaren,7.0,89.66155347878662,0.09844461402451214,20.0,0.0,23.0,8.0,3.8333333333333335,68.0,5.230769230769231,0
